x,y,z,
136.15,409.85,0.046185,
136.15,413.53,0.046404,
136.15,417.03,0.04649,
136.15,420.7,0.0469,
136.15,424.2,0.04714,
136.15,427.7,0.047695,
136.15,431.2,0.048533,
136.15,434.7,0.048986,
136.15,438.38,0.049519,
136.15,441.88,0.050326,
136.15,445.55,0.050748,
136.15,449.05,0.051268,
136.15,452.73,0.051854,
136.15,456.23,0.052796,
136.15,459.73,0.053755,
136.15,463.23,0.054771,
136.15,466.73,0.056081,
136.15,470.4,0.057362,
136.15,473.9,0.058718,
136.15,477.58,0.060042,
136.15,481.08,0.061358,
136.15,484.75,0.062686,
136.15,488.25,0.064016,
136.15,491.23,0.064953,
136.15,495.25,0.066456,
136.15,498.75,0.06787,
136.15,502.43,0.069288,
136.15,506.45,0.070674,
136.15,509.95,0.07166,
136.15,513.63,0.072692,
136.15,517.13,0.073967,
136.15,520.8,0.074552,
136.15,524.48,0.075088,
136.15,527.98,0.07536,
136.15,531.48,0.075415,
136.15,534.98,0.075267,
136.15,538.65,0.075024,
136.15,542.15,0.074294,
136.15,545.65,0.073228,
136.15,549.15,0.072008,
136.15,552.65,0.070945,
136.15,556.33,0.069343,
136.15,559.83,0.068483,
136.15,563.33,0.067568,
136.15,566.83,0.067039,
136.15,570.5,0.066509,
136.15,574,0.066117,
136.15,577.68,0.066253,
136.15,581.35,0.066225,
136.15,584.85,0.066207,
136.15,588.35,0.066253,
136.15,592.03,0.066438,
136.15,595.53,0.066654,
136.15,599.03,0.066888,
136.15,602.53,0.066915,
136.15,606.2,0.066925,
136.15,609.7,0.066426,
136.15,613.2,0.066047,
136.15,616.88,0.065726,
136.15,620.38,0.065837,
136.15,624.05,0.065452,
136.15,627.55,0.065566,
136.15,631.05,0.065055,
136.15,634.55,0.064808,
136.15,638.05,0.064682,
136.15,641.72,0.064254,
136.15,645.4,0.064337,
136.15,648.9,0.064214,
136.15,652.57,0.064411,
136.15,655.9,0.06402,
136.15,659.57,0.064383,
136.15,663.07,0.064392,
136.15,666.57,0.064676,
136.15,670.25,0.064851,
136.15,673.92,0.06507,
136.15,677.6,0.065492,
136.15,680.92,0.065779,
136.15,684.95,0.066247,
136.15,688.62,0.066521,
170.1,12.43,0.046118,
170.1,15.93,0.04613,
170.1,19.6,0.046093,
170.1,23.28,0.045782,
170.1,26.95,0.045495,
170.1,30.45,0.045021,
170.1,34.13,0.044623,
170.1,37.63,0.044556,
170.1,41.13,0.044639,
170.1,44.8,0.044753,
170.1,48.3,0.044731,
170.1,51.8,0.044774,
170.1,55.3,0.0447,
170.1,58.98,0.044682,
170.1,62.3,0.044309,
170.1,65.98,0.044226,
170.1,69.48,0.043939,
170.1,73.15,0.043829,
170.1,76.83,0.043844,
170.1,80.33,0.043872,
170.1,83.83,0.043474,
170.1,87.33,0.043342,
170.1,91,0.04255,
170.1,94.68,0.041959,
170.1,98.35,0.041225,
170.1,102.03,0.040532,
170.1,105.7,0.04015,
170.1,109.2,0.039771,
170.1,112.7,0.03934,
170.1,116.38,0.038936,
170.1,119.7,0.038644,
170.1,123.38,0.038117,
170.1,126.88,0.037803,
170.1,130.38,0.037676,
170.1,134.05,0.037821,
170.1,137.55,0.037766,
170.1,141.05,0.037938,
170.1,144.73,0.037522,
170.1,148.4,0.037353,
170.1,151.9,0.037528,
170.1,155.4,0.037519,
170.1,158.9,0.037458,
170.1,162.58,0.037778,
170.1,166.08,0.037904,
170.1,169.58,0.038114,
170.1,173.25,0.0382,
170.1,176.75,0.038548,
170.1,180.43,0.038564,
170.1,183.75,0.039053,
170.1,187.43,0.03901,
170.1,190.93,0.039417,
170.1,194.43,0.039402,
170.1,198.1,0.039365,
170.1,201.6,0.039497,
170.1,205.28,0.039371,
170.1,208.78,0.039325,
170.1,212.28,0.039479,
170.1,215.78,0.040221,
170.1,219.28,0.040813,
170.1,222.95,0.041737,
170.1,226.63,0.042769,
170.1,229.6,0.043995,
170.1,233.63,0.045209,
170.1,237.3,0.04621,
170.1,240.8,0.047381,
170.1,244.3,0.048074,
170.1,247.98,0.048838,
170.1,251.48,0.049288,
170.1,254.98,0.049469,
170.1,258.65,0.049562,
170.1,262.15,0.049589,
170.1,265.83,0.049848,
170.1,269.33,0.050181,
170.1,272.83,0.050655,
170.1,276.5,0.050933,
170.1,280,0.051845,
